country,sex,edu_lfs,dos_lfs,oecd,regionb,oecdb,fborn,number
AUS,2,1,2,1,EURO,0,1,555
AUS,2,2,2,1,EURO,0,1,2059
AUS,2,3,2,1,EURO,0,1,4392
AUS,2,99,2,1,EURO,0,1,470
AUS,2,1,3,1,EURO,0,1,45243
AUS,2,2,3,1,EURO,0,1,31678
AUS,2,3,3,1,EURO,0,1,31508
AUS,2,99,3,1,EURO,0,1,12503
AUS,2,1,99,1,EURO,0,1,1391
AUS,2,2,99,1,EURO,0,1,713
AUS,2,3,99,1,EURO,0,1,568
AUS,2,99,99,1,EURO,0,1,1669
AUS,1,1,1,1,EURO,1,1,4001
AUS,1,2,1,1,EURO,1,1,31277
AUS,1,3,1,1,EURO,1,1,41054
AUS,1,99,1,1,EURO,1,1,4880
AUS,1,1,2,1,EURO,1,1,4895
AUS,1,2,2,1,EURO,1,1,30908
AUS,1,3,2,1,EURO,1,1,32376
AUS,1,99,2,1,EURO,1,1,3489
AUS,1,1,3,1,EURO,1,1,151385
AUS,1,2,3,1,EURO,1,1,299330
AUS,1,3,3,1,EURO,1,1,195128
AUS,1,99,3,1,EURO,1,1,57274
AUS,1,1,99,1,EURO,1,1,6127
AUS,1,2,99,1,EURO,1,1,9582
AUS,1,3,99,1,EURO,1,1,4955
AUS,1,99,99,1,EURO,1,1,8680
AUS,2,1,1,1,EURO,1,1,3261
AUS,2,2,1,1,EURO,1,1,20172
AUS,2,3,1,1,EURO,1,1,47408
AUS,2,99,1,1,EURO,1,1,5115
AUS,2,1,2,1,EURO,1,1,4559
AUS,2,2,2,1,EURO,1,1,20476
AUS,2,3,2,1,EURO,1,1,36268
AUS,2,99,2,1,EURO,1,1,3999
AUS,2,1,3,1,EURO,1,1,229694
AUS,2,2,3,1,EURO,1,1,193579
AUS,2,3,3,1,EURO,1,1,215260
AUS,2,99,3,1,EURO,1,1,79772
AUS,2,1,99,1,EURO,1,1,8206
AUS,2,2,99,1,EURO,1,1,5928
AUS,2,3,99,1,EURO,1,1,5577
AUS,2,99,99,1,EURO,1,1,10259
AUS,1,2,1,1,NOAM,0,1,3
AUS,1,2,3,1,NOAM,0,1,7
AUS,1,3,3,1,NOAM,0,1,3
AUS,2,3,1,1,NOAM,0,1,3
AUS,2,3,3,1,NOAM,0,1,15
AUS,2,3,99,1,NOAM,0,1,3
AUS,1,1,1,1,NOAM,1,1,413
AUS,1,2,1,1,NOAM,1,1,3581
AUS,1,3,1,1,NOAM,1,1,6844
AUS,1,99,1,1,NOAM,1,1,516
AUS,1,1,2,1,NOAM,1,1,402
AUS,1,2,2,1,NOAM,1,1,2137
AUS,1,3,2,1,NOAM,1,1,4055
AUS,1,99,2,1,NOAM,1,1,300
AUS,1,1,3,1,NOAM,1,1,1839
AUS,1,2,3,1,NOAM,1,1,11207
AUS,1,3,3,1,NOAM,1,1,18979
AUS,1,99,3,1,NOAM,1,1,1811
AUS,1,1,99,1,NOAM,1,1,89
AUS,1,2,99,1,NOAM,1,1,564
AUS,1,3,99,1,NOAM,1,1,626
AUS,1,99,99,1,NOAM,1,1,340
AUS,2,1,1,1,NOAM,1,1,348
AUS,2,2,1,1,NOAM,1,1,3559
AUS,2,3,1,1,NOAM,1,1,9626
AUS,2,99,1,1,NOAM,1,1,663
AUS,2,1,2,1,NOAM,1,1,355
AUS,2,2,2,1,NOAM,1,1,1945
AUS,2,3,2,1,NOAM,1,1,5606
AUS,2,99,2,1,NOAM,1,1,327
AUS,2,1,3,1,NOAM,1,1,1920
AUS,2,2,3,1,NOAM,1,1,9285
AUS,2,3,3,1,NOAM,1,1,22349
AUS,2,99,3,1,NOAM,1,1,2010
AUS,2,1,99,1,NOAM,1,1,90
AUS,2,2,99,1,NOAM,1,1,494
AUS,2,3,99,1,NOAM,1,1,738
AUS,2,99,99,1,NOAM,1,1,252
AUS,1,1,1,1,OCEA,0,1,1354
AUS,1,2,1,1,OCEA,0,1,4375
AUS,1,3,1,1,OCEA,0,1,1816
AUS,1,99,1,1,OCEA,0,1,847
AUS,1,1,2,1,OCEA,0,1,1071
AUS,1,2,2,1,OCEA,0,1,3721
AUS,1,3,2,1,OCEA,0,1,1879
AUS,1,99,2,1,OCEA,0,1,630
AUS,1,1,3,1,OCEA,0,1,7002
AUS,1,2,3,1,OCEA,0,1,19200
AUS,1,3,3,1,OCEA,0,1,13410
AUS,1,99,3,1,OCEA,0,1,3231
AUS,1,1,99,1,OCEA,0,1,532
AUS,1,2,99,1,OCEA,0,1,1090
AUS,1,3,99,1,OCEA,0,1,424
AUS,1,99,99,1,OCEA,0,1,994
AUS,2,1,1,1,OCEA,0,1,1438
AUS,2,2,1,1,OCEA,0,1,4007
AUS,2,3,1,1,OCEA,0,1,2532
AUS,2,99,1,1,OCEA,0,1,1006
AUS,2,1,2,1,OCEA,0,1,1300
AUS,2,2,2,1,OCEA,0,1,3372
AUS,2,3,2,1,OCEA,0,1,2551
AUS,2,99,2,1,OCEA,0,1,741
AUS,2,1,3,1,OCEA,0,1,9089
AUS,2,2,3,1,OCEA,0,1,19076
AUS,2,3,3,1,OCEA,0,1,17422
AUS,2,99,3,1,OCEA,0,1,4759
AUS,2,1,99,1,OCEA,0,1,565
AUS,2,2,99,1,OCEA,0,1,867
AUS,2,3,99,1,OCEA,0,1,596
AUS,2,99,99,1,OCEA,0,1,636
AUS,1,1,0,1,OCEA,1,0,1197395
AUS,1,2,0,1,OCEA,1,0,2790522
AUS,1,3,0,1,OCEA,1,0,1411509
AUS,1,99,0,1,OCEA,1,0,395953
AUS,2,1,0,1,OCEA,1,0,1456792
AUS,2,2,0,1,OCEA,1,0,2094297
AUS,2,3,0,1,OCEA,1,0,1988476
AUS,2,99,0,1,OCEA,1,0,502153
AUS,1,1,1,1,OCEA,1,1,5020
AUS,1,2,1,1,OCEA,1,1,18775
AUS,1,3,1,1,OCEA,1,1,8374
AUS,1,99,1,1,OCEA,1,1,2708
AUS,1,1,2,1,OCEA,1,1,5421
AUS,1,2,2,1,OCEA,1,1,19084
AUS,1,3,2,1,OCEA,1,1,7261
AUS,1,99,2,1,OCEA,1,1,2552
AUS,1,1,3,1,OCEA,1,1,25869
AUS,1,2,3,1,OCEA,1,1,83894
AUS,1,3,3,1,OCEA,1,1,37658
AUS,1,99,3,1,OCEA,1,1,10839
AUS,1,1,99,1,OCEA,1,1,1595
AUS,1,2,99,1,OCEA,1,1,3900
AUS,1,3,99,1,OCEA,1,1,1131
AUS,1,99,99,1,OCEA,1,1,3108
AUS,2,1,1,1,OCEA,1,1,4297
AUS,2,2,1,1,OCEA,1,1,16070
AUS,2,3,1,1,OCEA,1,1,12497
AUS,2,99,1,1,OCEA,1,1,3434
AUS,2,1,2,1,OCEA,1,1,4496
AUS,2,2,2,1,OCEA,1,1,15088
AUS,2,3,2,1,OCEA,1,1,10089
AUS,2,99,2,1,OCEA,1,1,2811
AUS,2,1,3,1,OCEA,1,1,27878
AUS,2,2,3,1,OCEA,1,1,64813
AUS,2,3,3,1,OCEA,1,1,51216
AUS,2,99,3,1,OCEA,1,1,13630
AUS,2,1,99,1,OCEA,1,1,1375
AUS,2,2,99,1,OCEA,1,1,2689
AUS,2,3,99,1,OCEA,1,1,1682
AUS,2,99,99,1,OCEA,1,1,1891
AUS,1,1,1,1,SCAC,0,1,334
AUS,1,2,1,1,SCAC,0,1,3506
AUS,1,3,1,1,SCAC,0,1,8560
AUS,1,99,1,1,SCAC,0,1,929
AUS,1,1,2,1,SCAC,0,1,287
AUS,1,2,2,1,SCAC,0,1,1673
AUS,1,3,2,1,SCAC,0,1,5525
AUS,1,99,2,1,SCAC,0,1,362
AUS,1,1,3,1,SCAC,0,1,3014
AUS,1,2,3,1,SCAC,0,1,9963
AUS,1,3,3,1,SCAC,0,1,9284
AUS,1,99,3,1,SCAC,0,1,2015
AUS,1,1,99,1,SCAC,0,1,126
AUS,1,2,99,1,SCAC,0,1,534
AUS,1,3,99,1,SCAC,0,1,693
AUS,1,99,99,1,SCAC,0,1,398
AUS,2,1,1,1,SCAC,0,1,292
AUS,2,2,1,1,SCAC,0,1,3291
AUS,2,3,1,1,SCAC,0,1,10706
AUS,2,99,1,1,SCAC,0,1,1052
AUS,2,1,2,1,SCAC,0,1,284
AUS,2,2,2,1,SCAC,0,1,1593
