country,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
AUS,1,2,2,1,1,ASIA,0,1,11366
AUS,1,2,3,1,1,ASIA,0,1,55800
AUS,1,2,99,1,1,ASIA,0,1,181
AUS,1,2,1,2,1,ASIA,0,1,163071
AUS,1,2,2,2,1,ASIA,0,1,13692
AUS,1,2,3,2,1,ASIA,0,1,44204
AUS,1,2,99,2,1,ASIA,0,1,1083
AUS,1,2,1,3,1,ASIA,0,1,4626
AUS,1,2,2,3,1,ASIA,0,1,253
AUS,1,2,3,3,1,ASIA,0,1,25147
AUS,1,2,99,3,1,ASIA,0,1,230
AUS,1,3,1,1,1,ASIA,0,1,21100
AUS,1,3,2,1,1,ASIA,0,1,5257
AUS,1,3,3,1,1,ASIA,0,1,17036
AUS,1,3,99,1,1,ASIA,0,1,80
AUS,1,3,1,2,1,ASIA,0,1,416531
AUS,1,3,2,2,1,ASIA,0,1,26151
AUS,1,3,3,2,1,ASIA,0,1,50519
AUS,1,3,99,2,1,ASIA,0,1,1020
AUS,1,3,1,3,1,ASIA,0,1,8838
AUS,1,3,2,3,1,ASIA,0,1,611
AUS,1,3,3,3,1,ASIA,0,1,26469
AUS,1,3,99,3,1,ASIA,0,1,151
AUS,1,99,1,1,1,ASIA,0,1,2625
AUS,1,99,2,1,1,ASIA,0,1,687
AUS,1,99,3,1,1,ASIA,0,1,4473
AUS,1,99,99,1,1,ASIA,0,1,714
AUS,1,99,1,2,1,ASIA,0,1,27744
AUS,1,99,2,2,1,ASIA,0,1,2125
AUS,1,99,3,2,1,ASIA,0,1,10454
AUS,1,99,99,2,1,ASIA,0,1,3367
AUS,1,99,1,3,1,ASIA,0,1,1239
AUS,1,99,2,3,1,ASIA,0,1,92
AUS,1,99,3,3,1,ASIA,0,1,6532
AUS,1,99,99,3,1,ASIA,0,1,945
AUS,2,1,1,1,1,ASIA,0,1,2832
AUS,2,1,2,1,1,ASIA,0,1,1372
AUS,2,1,3,1,1,ASIA,0,1,18021
AUS,2,1,99,1,1,ASIA,0,1,25
AUS,2,1,1,2,1,ASIA,0,1,39997
AUS,2,1,2,2,1,ASIA,0,1,7002
AUS,2,1,3,2,1,ASIA,0,1,79943
AUS,2,1,99,2,1,ASIA,0,1,727
AUS,2,1,1,3,1,ASIA,0,1,1331
AUS,2,1,2,3,1,ASIA,0,1,52
AUS,2,1,3,3,1,ASIA,0,1,45354
AUS,2,1,99,3,1,ASIA,0,1,263
AUS,2,2,1,1,1,ASIA,0,1,27078
AUS,2,2,2,1,1,ASIA,0,1,9910
AUS,2,2,3,1,1,ASIA,0,1,56560
AUS,2,2,99,1,1,ASIA,0,1,136
AUS,2,2,1,2,1,ASIA,0,1,117350
AUS,2,2,2,2,1,ASIA,0,1,14167
AUS,2,2,3,2,1,ASIA,0,1,98880
AUS,2,2,99,2,1,ASIA,0,1,1126
AUS,2,2,1,3,1,ASIA,0,1,2521
AUS,2,2,2,3,1,ASIA,0,1,91
AUS,2,2,3,3,1,ASIA,0,1,25822
AUS,2,2,99,3,1,ASIA,0,1,199
AUS,2,3,1,1,1,ASIA,0,1,21818
AUS,2,3,2,1,1,ASIA,0,1,5900
AUS,2,3,3,1,1,ASIA,0,1,22447
AUS,2,3,99,1,1,ASIA,0,1,61
AUS,2,3,1,2,1,ASIA,0,1,378940
AUS,2,3,2,2,1,ASIA,0,1,34831
AUS,2,3,3,2,1,ASIA,0,1,135360
AUS,2,3,99,2,1,ASIA,0,1,1263
AUS,2,3,1,3,1,ASIA,0,1,5585
AUS,2,3,2,3,1,ASIA,0,1,194
AUS,2,3,3,3,1,ASIA,0,1,25682
AUS,2,3,99,3,1,ASIA,0,1,197
AUS,2,99,1,1,1,ASIA,0,1,2117
AUS,2,99,2,1,1,ASIA,0,1,617
AUS,2,99,3,1,1,ASIA,0,1,4254
AUS,2,99,99,1,1,ASIA,0,1,500
AUS,2,99,1,2,1,ASIA,0,1,27209
AUS,2,99,2,2,1,ASIA,0,1,2713
AUS,2,99,3,2,1,ASIA,0,1,19376
AUS,2,99,99,2,1,ASIA,0,1,3728
AUS,2,99,1,3,1,ASIA,0,1,1138
AUS,2,99,2,3,1,ASIA,0,1,45
AUS,2,99,3,3,1,ASIA,0,1,10270
AUS,2,99,99,3,1,ASIA,0,1,1666
AUS,1,1,1,1,1,ASIA,1,1,271
AUS,1,1,2,1,1,ASIA,1,1,71
AUS,1,1,3,1,1,ASIA,1,1,1384
AUS,1,1,1,2,1,ASIA,1,1,708
AUS,1,1,2,2,1,ASIA,1,1,59
AUS,1,1,3,2,1,ASIA,1,1,376
AUS,1,1,1,3,1,ASIA,1,1,63
AUS,1,1,3,3,1,ASIA,1,1,371
AUS,1,2,1,1,1,ASIA,1,1,2855
AUS,1,2,2,1,1,ASIA,1,1,611
AUS,1,2,3,1,1,ASIA,1,1,3310
AUS,1,2,99,1,1,ASIA,1,1,9
AUS,1,2,1,2,1,ASIA,1,1,11786
AUS,1,2,2,2,1,ASIA,1,1,896
AUS,1,2,3,2,1,ASIA,1,1,2963
AUS,1,2,99,2,1,ASIA,1,1,54
AUS,1,2,1,3,1,ASIA,1,1,357
AUS,1,2,2,3,1,ASIA,1,1,12
AUS,1,2,3,3,1,ASIA,1,1,1401
AUS,1,2,99,3,1,ASIA,1,1,13
AUS,1,3,1,1,1,ASIA,1,1,729
AUS,1,3,2,1,1,ASIA,1,1,107
AUS,1,3,3,1,1,ASIA,1,1,340
AUS,1,3,99,1,1,ASIA,1,1,5
AUS,1,3,1,2,1,ASIA,1,1,21408
AUS,1,3,2,2,1,ASIA,1,1,1207
AUS,1,3,3,2,1,ASIA,1,1,2808
AUS,1,3,99,2,1,ASIA,1,1,53
AUS,1,3,1,3,1,ASIA,1,1,507
AUS,1,3,2,3,1,ASIA,1,1,16
AUS,1,3,3,3,1,ASIA,1,1,1210
AUS,1,3,99,3,1,ASIA,1,1,4
AUS,1,99,1,1,1,ASIA,1,1,153
AUS,1,99,2,1,1,ASIA,1,1,26
AUS,1,99,3,1,1,ASIA,1,1,165
AUS,1,99,99,1,1,ASIA,1,1,36
AUS,1,99,1,2,1,ASIA,1,1,1544
AUS,1,99,2,2,1,ASIA,1,1,100
AUS,1,99,3,2,1,ASIA,1,1,397
AUS,1,99,99,2,1,ASIA,1,1,159
AUS,1,99,1,3,1,ASIA,1,1,79
AUS,1,99,2,3,1,ASIA,1,1,7
AUS,1,99,3,3,1,ASIA,1,1,280
AUS,1,99,99,3,1,ASIA,1,1,45
AUS,2,1,1,1,1,ASIA,1,1,277
AUS,2,1,2,1,1,ASIA,1,1,83
AUS,2,1,3,1,1,ASIA,1,1,1140
AUS,2,1,1,2,1,ASIA,1,1,489
AUS,2,1,2,2,1,ASIA,1,1,60
AUS,2,1,3,2,1,ASIA,1,1,628
AUS,2,1,99,2,1,ASIA,1,1,3
AUS,2,1,1,3,1,ASIA,1,1,30
AUS,2,1,3,3,1,ASIA,1,1,1065
AUS,2,1,99,3,1,ASIA,1,1,3
AUS,2,2,1,1,1,ASIA,1,1,2648
AUS,2,2,2,1,1,ASIA,1,1,556
AUS,2,2,3,1,1,ASIA,1,1,3180
AUS,2,2,99,1,1,ASIA,1,1,16
AUS,2,2,1,2,1,ASIA,1,1,9812
AUS,2,2,2,2,1,ASIA,1,1,983
AUS,2,2,3,2,1,ASIA,1,1,8395
AUS,2,2,99,2,1,ASIA,1,1,76
AUS,2,2,1,3,1,ASIA,1,1,194
AUS,2,2,2,3,1,ASIA,1,1,9
AUS,2,2,3,3,1,ASIA,1,1,2059
AUS,2,2,99,3,1,ASIA,1,1,11
AUS,2,3,1,1,1,ASIA,1,1,1257
AUS,2,3,2,1,1,ASIA,1,1,176
AUS,2,3,3,1,1,ASIA,1,1,534
AUS,2,3,99,1,1,ASIA,1,1,4
AUS,2,3,1,2,1,ASIA,1,1,25574
AUS,2,3,2,2,1,ASIA,1,1,1903
AUS,2,3,3,2,1,ASIA,1,1,12911
AUS,2,3,99,2,1,ASIA,1,1,77
AUS,2,3,1,3,1,ASIA,1,1,259
AUS,2,3,2,3,1,ASIA,1,1,11
AUS,2,3,3,3,1,ASIA,1,1,1173
AUS,2,3,99,3,1,ASIA,1,1,3
AUS,2,99,1,1,1,ASIA,1,1,206
AUS,2,99,2,1,1,ASIA,1,1,42
AUS,2,99,3,1,1,ASIA,1,1,224
AUS,2,99,99,1,1,ASIA,1,1,50
AUS,2,99,1,2,1,ASIA,1,1,1939
AUS,2,99,2,2,1,ASIA,1,1,162
AUS,2,99,3,2,1,ASIA,1,1,1295
AUS,2,99,99,2,1,ASIA,1,1,209
AUS,2,99,1,3,1,ASIA,1,1,41
AUS,2,99,2,3,1,ASIA,1,1,3
AUS,2,99,3,3,1,ASIA,1,1,467
AUS,2,99,99,3,1,ASIA,1,1,75
AUS,1,1,1,1,1,EURO,0,1,150
AUS,1,1,2,1,1,EURO,0,1,73
AUS,1,1,3,1,1,EURO,0,1,444
AUS,1,1,1,2,1,EURO,0,1,5878
AUS,1,1,2,2,1,EURO,0,1,405
AUS,1,1,3,2,1,EURO,0,1,4317
AUS,1,1,99,2,1,EURO,0,1,43
AUS,1,1,1,3,1,EURO,0,1,1565
AUS,1,1,2,3,1,EURO,0,1,17
AUS,1,1,3,3,1,EURO,0,1,19936
AUS,1,1,99,3,1,EURO,0,1,204
AUS,1,2,1,1,1,EURO,0,1,1714
AUS,1,2,2,1,1,EURO,0,1,356
AUS,1,2,3,1,1,EURO,0,1,875
AUS,1,2,99,1,1,EURO,0,1,3
