coub,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
ABW,2,3,3,2,1,SCAC,0,1,81
ABW,2,3,1,3,1,SCAC,0,1,121
ABW,2,3,3,3,1,SCAC,0,1,91
ABW,2,3,1,99,1,SCAC,0,1,6555
ABW,2,3,2,99,1,SCAC,0,1,235
ABW,2,3,3,99,1,SCAC,0,1,1770
ABW,2,99,99,2,1,SCAC,0,1,1
AFG,1,1,1,1,1,ASIA,0,1,14317
AFG,1,1,2,1,1,ASIA,0,1,4302
AFG,1,1,3,1,1,ASIA,0,1,41712
AFG,1,1,99,1,1,ASIA,0,1,1431
AFG,1,1,1,2,1,ASIA,0,1,49479
AFG,1,1,2,2,1,ASIA,0,1,8259
AFG,1,1,3,2,1,ASIA,0,1,24424
AFG,1,1,99,2,1,ASIA,0,1,78
AFG,1,1,1,3,1,ASIA,0,1,645
AFG,1,1,2,3,1,ASIA,0,1,94
AFG,1,1,3,3,1,ASIA,0,1,4996
AFG,1,1,99,3,1,ASIA,0,1,17
AFG,1,1,1,1564,1,ASIA,0,1,15824
AFG,1,1,2,1564,1,ASIA,0,1,3696
AFG,1,1,3,1564,1,ASIA,0,1,7807
AFG,1,2,1,1,1,ASIA,0,1,9289
AFG,1,2,2,1,1,ASIA,0,1,3480
AFG,1,2,3,1,1,ASIA,0,1,8655
AFG,1,2,99,1,1,ASIA,0,1,21
AFG,1,2,1,2,1,ASIA,0,1,46632
AFG,1,2,2,2,1,ASIA,0,1,4436
AFG,1,2,3,2,1,ASIA,0,1,13381
AFG,1,2,99,2,1,ASIA,0,1,33
AFG,1,2,1,3,1,ASIA,0,1,555
AFG,1,2,2,3,1,ASIA,0,1,19
AFG,1,2,3,3,1,ASIA,0,1,2793
AFG,1,2,99,3,1,ASIA,0,1,4
AFG,1,2,1,1564,1,ASIA,0,1,4470
AFG,1,2,2,1564,1,ASIA,0,1,2071
AFG,1,2,3,1564,1,ASIA,0,1,2853
AFG,1,3,1,1,1,ASIA,0,1,2817
AFG,1,3,2,1,1,ASIA,0,1,822
AFG,1,3,3,1,1,ASIA,0,1,958
AFG,1,3,99,1,1,ASIA,0,1,10
AFG,1,3,1,2,1,ASIA,0,1,42153
AFG,1,3,2,2,1,ASIA,0,1,3099
AFG,1,3,3,2,1,ASIA,0,1,8610
AFG,1,3,99,2,1,ASIA,0,1,27
AFG,1,3,1,3,1,ASIA,0,1,1571
AFG,1,3,2,3,1,ASIA,0,1,114
AFG,1,3,3,3,1,ASIA,0,1,5318
AFG,1,3,99,3,1,ASIA,0,1,13
