coub,sex,edu_lfs,dos_lfs,oecd,regionb,oecdb,fborn,number
AGO,2,99,1,1,AFRI,0,1,377
AGO,2,1,2,1,AFRI,0,1,2550
AGO,2,2,2,1,AFRI,0,1,2879
AGO,2,3,2,1,AFRI,0,1,1232
AGO,2,99,2,1,AFRI,0,1,219
AGO,2,1,3,1,AFRI,0,1,41094
AGO,2,2,3,1,AFRI,0,1,29274
AGO,2,3,3,1,AFRI,0,1,30293
AGO,2,99,3,1,AFRI,0,1,243
AGO,2,1,99,1,AFRI,0,1,818
AGO,2,2,99,1,AFRI,0,1,810
AGO,2,3,99,1,AFRI,0,1,389
AGO,2,99,99,1,AFRI,0,1,290
AIA,1,1,1,1,SCAC,0,1,47
AIA,1,2,1,1,SCAC,0,1,123
AIA,1,1,2,1,SCAC,0,1,64
AIA,1,2,2,1,SCAC,0,1,135
AIA,1,3,2,1,SCAC,0,1,54
AIA,1,1,3,1,SCAC,0,1,1190
AIA,1,2,3,1,SCAC,0,1,1101
AIA,1,3,3,1,SCAC,0,1,902
AIA,1,2,99,1,SCAC,0,1,4
AIA,2,1,1,1,SCAC,0,1,258
AIA,2,2,1,1,SCAC,0,1,345
AIA,2,3,1,1,SCAC,0,1,56
AIA,2,1,2,1,SCAC,0,1,108
AIA,2,2,2,1,SCAC,0,1,159
AIA,2,3,2,1,SCAC,0,1,161
AIA,2,1,3,1,SCAC,0,1,619
AIA,2,2,3,1,SCAC,0,1,683
AIA,2,3,3,1,SCAC,0,1,1293
ALB,1,1,1,1,EURO,0,1,39895
ALB,1,2,1,1,EURO,0,1,21294
ALB,1,3,1,1,EURO,0,1,6183
ALB,1,99,1,1,EURO,0,1,1977
ALB,1,1,2,1,EURO,0,1,49431
ALB,1,2,2,1,EURO,0,1,26172
ALB,1,3,2,1,EURO,0,1,7321
ALB,1,99,2,1,EURO,0,1,399
ALB,1,1,3,1,EURO,0,1,194255
ALB,1,2,3,1,EURO,0,1,156345
ALB,1,3,3,1,EURO,0,1,40593
ALB,1,99,3,1,EURO,0,1,753
ALB,1,1,99,1,EURO,0,1,4519
ALB,1,2,99,1,EURO,0,1,1893
ALB,1,3,99,1,EURO,0,1,624
ALB,1,99,99,1,EURO,0,1,265
ALB,2,1,1,1,EURO,0,1,56194
ALB,2,2,1,1,EURO,0,1,24751
ALB,2,3,1,1,EURO,0,1,12616
ALB,2,99,1,1,EURO,0,1,1243
ALB,2,1,2,1,EURO,0,1,62758
ALB,2,2,2,1,EURO,0,1,33210
ALB,2,3,2,1,EURO,0,1,15939
ALB,2,99,2,1,EURO,0,1,327
ALB,2,1,3,1,EURO,0,1,132561
ALB,2,2,3,1,EURO,0,1,128107
ALB,2,3,3,1,EURO,0,1,52434
ALB,2,99,3,1,EURO,0,1,792
ALB,2,1,99,1,EURO,0,1,2648
ALB,2,2,99,1,EURO,0,1,1643
ALB,2,3,99,1,EURO,0,1,643
ALB,2,99,99,1,EURO,0,1,190
AND,1,1,1,1,EURO,0,1,201
AND,1,2,1,1,EURO,0,1,488
AND,1,3,1,1,EURO,0,1,590
AND,1,99,1,1,EURO,0,1,146
AND,1,1,2,1,EURO,0,1,60
AND,1,3,2,1,EURO,0,1,14
AND,1,99,2,1,EURO,0,1,4
AND,1,1,3,1,EURO,0,1,322
AND,1,2,3,1,EURO,0,1,116
AND,1,3,3,1,EURO,0,1,289
AND,1,1,99,1,EURO,0,1,55
AND,1,2,99,1,EURO,0,1,38
AND,1,3,99,1,EURO,0,1,32
AND,1,99,99,1,EURO,0,1,7
AND,2,1,1,1,EURO,0,1,35
AND,2,2,1,1,EURO,0,1,87
AND,2,3,1,1,EURO,0,1,119
AND,2,99,1,1,EURO,0,1,3
AND,2,1,2,1,EURO,0,1,40
AND,2,2,2,1,EURO,0,1,25
AND,2,3,2,1,EURO,0,1,38
AND,2,1,3,1,EURO,0,1,928
AND,2,2,3,1,EURO,0,1,818
AND,2,3,3,1,EURO,0,1,525
AND,2,99,3,1,EURO,0,1,1
AND,2,1,99,1,EURO,0,1,66
AND,2,2,99,1,EURO,0,1,17
AND,2,3,99,1,EURO,0,1,64
AND,2,99,99,1,EURO,0,1,1
ANT,1,1,1,1,SCAC,0,1,1789
ANT,1,2,1,1,SCAC,0,1,2809
ANT,1,3,1,1,SCAC,0,1,1216
ANT,1,99,1,1,SCAC,0,1,97
ANT,1,1,2,1,SCAC,0,1,640
ANT,1,2,2,1,SCAC,0,1,929
ANT,1,3,2,1,SCAC,0,1,1741
ANT,1,99,2,1,SCAC,0,1,85
ANT,1,1,3,1,SCAC,0,1,9056
ANT,1,2,3,1,SCAC,0,1,12848
ANT,1,3,3,1,SCAC,0,1,8719
ANT,1,99,3,1,SCAC,0,1,999
ANT,1,2,99,1,SCAC,0,1,2
ANT,1,3,99,1,SCAC,0,1,1
ANT,1,99,99,1,SCAC,0,1,12
ANT,2,1,1,1,SCAC,0,1,1389
ANT,2,2,1,1,SCAC,0,1,3267
ANT,2,3,1,1,SCAC,0,1,535
ANT,2,99,1,1,SCAC,0,1,541
ANT,2,1,2,1,SCAC,0,1,604
ANT,2,2,2,1,SCAC,0,1,1411
ANT,2,3,2,1,SCAC,0,1,1707
ANT,2,99,2,1,SCAC,0,1,76
ANT,2,1,3,1,SCAC,0,1,9459
ANT,2,2,3,1,SCAC,0,1,13745
ANT,2,3,3,1,SCAC,0,1,10720
ANT,2,99,3,1,SCAC,0,1,1103
ANT,2,3,99,1,SCAC,0,1,2
ANT,2,99,99,1,SCAC,0,1,8
ARE,1,1,1,1,ASIA,0,1,742
ARE,1,2,1,1,ASIA,0,1,2594
ARE,1,3,1,1,ASIA,0,1,3218
ARE,1,99,1,1,ASIA,0,1,220
ARE,1,1,2,1,ASIA,0,1,746
ARE,1,2,2,1,ASIA,0,1,1229
ARE,1,3,2,1,ASIA,0,1,2519
ARE,1,99,2,1,ASIA,0,1,33
ARE,1,1,3,1,ASIA,0,1,1242
ARE,1,2,3,1,ASIA,0,1,3233
ARE,1,3,3,1,ASIA,0,1,9099
ARE,1,99,3,1,ASIA,0,1,56
ARE,1,1,99,1,ASIA,0,1,77
ARE,1,2,99,1,ASIA,0,1,214
ARE,1,3,99,1,ASIA,0,1,400
ARE,1,99,99,1,ASIA,0,1,137
ARE,2,1,1,1,ASIA,0,1,845
ARE,2,2,1,1,ASIA,0,1,2111
ARE,2,3,1,1,ASIA,0,1,4934
ARE,2,99,1,1,ASIA,0,1,156
ARE,2,1,2,1,ASIA,0,1,918
ARE,2,2,2,1,ASIA,0,1,883
ARE,2,3,2,1,ASIA,0,1,2746
ARE,2,99,2,1,ASIA,0,1,37
ARE,2,1,3,1,ASIA,0,1,1237
ARE,2,2,3,1,ASIA,0,1,2855
ARE,2,3,3,1,ASIA,0,1,6293
ARE,2,99,3,1,ASIA,0,1,37
ARE,2,1,99,1,ASIA,0,1,131
ARE,2,2,99,1,ASIA,0,1,347
ARE,2,3,99,1,ASIA,0,1,417
ARE,2,99,99,1,ASIA,0,1,88
ARG,1,1,1,1,SCAC,0,1,5606
ARG,1,2,1,1,SCAC,0,1,12596
ARG,1,3,1,1,SCAC,0,1,14865
ARG,1,99,1,1,SCAC,0,1,656
ARG,1,1,2,1,SCAC,0,1,9298
ARG,1,2,2,1,SCAC,0,1,8125
ARG,1,3,2,1,SCAC,0,1,12534
ARG,1,99,2,1,SCAC,0,1,419
ARG,1,1,3,1,SCAC,0,1,61873
ARG,1,2,3,1,SCAC,0,1,89905
ARG,1,3,3,1,SCAC,0,1,76203
ARG,1,99,3,1,SCAC,0,1,1302
ARG,1,1,23,1,SCAC,0,1,540
ARG,1,2,23,1,SCAC,0,1,1784
ARG,1,3,23,1,SCAC,0,1,2888
ARG,1,99,23,1,SCAC,0,1,38
ARG,1,1,99,1,SCAC,0,1,7749
ARG,1,2,99,1,SCAC,0,1,1995
ARG,1,3,99,1,SCAC,0,1,1113
ARG,1,99,99,1,SCAC,0,1,507
ARG,2,1,1,1,SCAC,0,1,7687
ARG,2,2,1,1,SCAC,0,1,10657
ARG,2,3,1,1,SCAC,0,1,14418
ARG,2,99,1,1,SCAC,0,1,442
ARG,2,1,2,1,SCAC,0,1,10659
ARG,2,2,2,1,SCAC,0,1,9147
ARG,2,3,2,1,SCAC,0,1,19851
ARG,2,99,2,1,SCAC,0,1,247
ARG,2,1,3,1,SCAC,0,1,57673
ARG,2,2,3,1,SCAC,0,1,94663
ARG,2,3,3,1,SCAC,0,1,101567
ARG,2,99,3,1,SCAC,0,1,870
ARG,2,1,23,1,SCAC,0,1,558
ARG,2,2,23,1,SCAC,0,1,1520
ARG,2,3,23,1,SCAC,0,1,3178
ARG,2,99,23,1,SCAC,0,1,2
ARG,2,1,99,1,SCAC,0,1,9582
ARG,2,2,99,1,SCAC,0,1,3679
ARG,2,3,99,1,SCAC,0,1,1143
ARG,2,99,99,1,SCAC,0,1,409
ASIA,1,1,1,1,ASIA,0,1,8101
ASIA,1,2,1,1,ASIA,0,1,7395
ASIA,1,3,1,1,ASIA,0,1,8463
ASIA,1,99,1,1,ASIA,0,1,2447
ASIA,1,1,2,1,ASIA,0,1,1958
ASIA,1,2,2,1,ASIA,0,1,3206
ASIA,1,3,2,1,ASIA,0,1,3745
ASIA,1,99,2,1,ASIA,0,1,11
ASIA,1,1,3,1,ASIA,0,1,25908
ASIA,1,2,3,1,ASIA,0,1,45189
ASIA,1,3,3,1,ASIA,0,1,20401
ASIA,1,99,3,1,ASIA,0,1,305
ASIA,1,1,23,1,ASIA,0,1,112
ASIA,1,2,23,1,ASIA,0,1,70
ASIA,1,3,23,1,ASIA,0,1,392
ASIA,1,1,99,1,ASIA,0,1,6
ASIA,1,2,99,1,ASIA,0,1,15
ASIA,1,3,99,1,ASIA,0,1,11
ASIA,1,99,99,1,ASIA,0,1,15
ASIA,2,1,1,1,ASIA,0,1,6325
ASIA,2,2,1,1,ASIA,0,1,7646
ASIA,2,3,1,1,ASIA,0,1,9755
ASIA,2,99,1,1,ASIA,0,1,1693
ASIA,2,1,2,1,ASIA,0,1,2625
ASIA,2,2,2,1,ASIA,0,1,3115
ASIA,2,3,2,1,ASIA,0,1,5626
ASIA,2,99,2,1,ASIA,0,1,13
ASIA,2,1,3,1,ASIA,0,1,29900
